what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1318587769479
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1318587769479
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1318587769480
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1318587769480
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1318587769481
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1318587769481
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1318587769482
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1318587769482
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1318587769483
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1318587769484
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1318587769485
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1318587769485
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1318587769486
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1318587769487
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1318587769488
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1318587769489
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1318587769489
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1318587769489
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1318587769490
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1318587769491
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1318587769492
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1318587769492
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1318587769493
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1318587769494
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1318587769494
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1318587769495
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1318587769495
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1318587769496
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1318587769496
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1318587769726
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1318587769727
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1318587769727
os,sysinfo,,,"win32",1318587769731
arch,sysinfo,,,"x86",1318587769731
ws,sysinfo,,,"win32",1318587769731
locale,sysinfo,,,"pt_PT",1318587769731
processors,sysinfo,,,"2",1318587769731
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1318587769731
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1318587769731
java.specification.name,sysinfo,,,"Java Platform API Specification",1318587769731
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318587769731
java.specification.version,sysinfo,,,"1.6",1318587769731
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1318587769731
java.version,sysinfo,,,"1.6.0_26",1318587769731
java.vm.info,sysinfo,,,"mixed mode, sharing",1318587769731
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1318587769731
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1318587769731
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318587769731
java.vm.specification.version,sysinfo,,,"1.0",1318587769731
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1318587769731
java.vm.version,sysinfo,,,"20.1-b02",1318587769731
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1318587769738
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1318587769745
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1318587769847
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1318587769881
started,bundle,org.eclipse.m2e.core,1.0.0.20110607-2117,"org.eclipse.m2e.core",1318587771425
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1318587771872
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1318587771872
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1318587775016
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1318587779458
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1318587779473
started,bundle,org.eclipse.ant.core,3.2.300.v20110511,"org.eclipse.ant.core",1318587779562
opened,editor,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui.internal.editor.AntEditor",1318587780440
activated,editor,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui.internal.editor.AntEditor",1318587780573
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1318587804826
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PropertiesFileEditor",1318587805049
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PropertiesFileEditor",1318587805095
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1318587807127
activated,editor,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui.internal.editor.AntEditor",1318587807340
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318587820895
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318587838491
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318587852419
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1318587913637
started,bundle,org.eclipse.ant.launching,1.0.100.v20110506,"org.eclipse.ant.launching",1318587914395
activated,view,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui.views.AntView",1318587915607
activated,editor,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui.internal.editor.AntEditor",1318587925390
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1318587928859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318587938752
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1318587938776
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318587958018
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318587967489
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318587978028
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1318587992538
activated,editor,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui.internal.editor.AntEditor",1318588005610
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318588011671
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1318588024337
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318588173840
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318588173858
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318588175584
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1318588186407
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1318588192544
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318588192760
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318588194499
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PropertiesFileEditor",1318588194517
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1318588196097
activated,editor,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui.internal.editor.AntEditor",1318588196334
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1318588197004
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PropertiesFileEditor",1318588197234
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PropertiesFileEditor",1318588197268
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1318588198800
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PropertiesFileEditor",1318588199001
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1318588199775
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1318588200085
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1318588200234
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1318588200685
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1318588200990
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1318588201008
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1318588201110
started,bundle,org.eclipse.emf.common,2.7.0.v20110912-0920,"org.eclipse.emf.common",1318588201155
opened,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1318588201292
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1318588201394
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1318588202632
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1318588202755
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1318588203204
opened,editor,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui.internal.editor.AntEditor",1318588203651
activated,editor,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui.internal.editor.AntEditor",1318588203723
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318588208553
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318588591128
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1318588602164
activated,editor,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui.internal.editor.AntEditor",1318588602374
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1318588621973
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1318588624233
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1318588638949
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1318588644801
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318588646942
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318588650477
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318588672172
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1318588672753
started,bundle,org.eclipse.core.externaltools,1.0.100.v20110506,"org.eclipse.core.externaltools",1318588672756
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318588675436
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318588687275
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318588687921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318588728586
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318588732711
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318588751917
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318588762644
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1318588797796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318588800487
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318588801773
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318588810001
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318588810028
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318588811476
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1318588815979
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1318588816240
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1318588818941
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1318588819392
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318588823545
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318588828037
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318588832014
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318588834161
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318588856949
